23/04/2013 15:34:22 - New match 11348965 has started
23/04/2013 15:36:04 - Roman killed Nick using M16
23/04/2013 15:36:33 - <WORLD> killed Nick by DROWN
23/04/2013 15:37:04 - Roman killed Nick using M16
23/04/2013 15:38:33 - Nick killed Roman by AK-47
23/04/2013 15:39:04 - Roman killed Nick using M16
23/04/2013 15:39:09 - Roman killed Nick using M16
23/04/2013 15:39:30 - Roman killed Nick using M16
23/04/2013 15:39:45 - Roman killed Nick using ACR
23/04/2013 15:39:51 - Roman killed Nick using ACR
23/04/2013 15:40:33 - Nick killed Roman using M16
23/04/2013 15:40:30 - Nick killed Roman by AK-47
23/04/2013 15:41:33 - Nick killed Roman by R-15
23/04/2013 15:42:33 - Nick killed Roman by R-15
23/04/2013 15:42:45 - John killed Nick using 386
23/04/2013 15:43:33 - Nick killed Roman by R-15
23/04/2013 15:44:33 - Nick killed Roman by R-15
23/04/2013 15:46:33 - Nick killed Roman by R-15
23/04/2013 15:47:33 - Nick killed Roman by R-15
23/04/2013 15:48:33 - Nick killed Roman by R-15
23/04/2013 15:45:22 - Match 11348965 has ended 
